0 170
0 199
0 205
0 291
0 436
0 687
0 908
0 954
0 1110
0 1170
170 205
170 291
170 908
170 1110
170 1170
199 205
199 291
199 354
199 364
199 436
199 658
199 687
199 825
199 877
199 954
199 1182
199 1404
205 291
205 436
205 596
205 687
205 908
205 918
205 954
205 1110
205 1170
205 1182
205 1404
205 1487
291 354
291 436
291 658
291 687
291 825
291 908
291 954
291 1170
291 1182
291 1404
436 354
436 364
436 395
436 596
436 658
436 687
436 825
436 877
436 908
436 918
436 954
436 1170
436 1182
436 1404
436 1487
687 354
687 364
687 395
687 596
687 658
687 825
687 877
687 908
687 918
687 954
687 1170
687 1182
687 1404
687 1487
908 211
908 596
908 918
908 954
908 1110
908 1170
908 1182
908 1404
908 1487
954 211
954 490
954 533
954 596
954 658
954 918
954 1110
954 1170
954 1182
954 1404
954 1487
1110 172
1110 596
1110 840
1110 918
1110 1170
1110 1368
1110 1487
1110 1568
1170 211
1170 596
1170 918
1170 1182
1170 1404
1170 1487
1 287
1 412
1 435
1 555
1 620
1 634
1 867
1 913
1 1016
1 1037
1 1052
1 1062
1 1200
1 1277
1 1402
287 18
287 232
287 304
287 412
287 435
287 472
287 537
287 538
287 620
287 634
287 837
287 856
287 913
287 1037
287 1050
287 1062
287 1116
287 1200
287 1277
287 1310
412 18
412 232
412 304
412 435
412 472
412 537
412 538
412 620
412 634
412 837
412 856
412 913
412 1037
412 1050
412 1062
412 1116
412 1200
412 1277
412 1310
435 18
435 57
435 232
435 304
435 472
435 537
435 538
435 620
435 634
435 837
435 856
435 913
435 1037
435 1050
435 1062
435 1116
435 1200
435 1277
435 1310
435 1587
555 123
555 620
555 867
555 913
555 1016
555 1052
555 1200
555 1402
620 18
620 232
620 537
620 634
620 856
620 913
620 1016
620 1037
620 1052
620 1062
620 1200
620 1277
634 18
634 57
634 232
634 795
634 856
634 861
634 913
634 1037
634 1052
634 1062
634 1200
634 1277
634 1290
634 1587
867 123
867 753
867 865
867 913
867 1016
867 1052
867 1200
867 1402
913 57
913 856
913 1016
913 1037
913 1052
913 1062
913 1200
913 1277
913 1402
1016 123
1016 1052
1016 1200
1016 1402
1037 18
1037 57
1037 232
1037 304
1037 472
1037 537
1037 538
1037 837
1037 856
1037 1050
1037 1062
1037 1116
1037 1200
1037 1277
1037 1310
1037 1587
1052 123
1052 753
1052 1062
1052 1200
1052 1402
1062 18
1062 57
1062 232
1062 795
1062 856
1062 861
1062 1200
1062 1277
1062 1290
1062 1587
1200 1277
1200 1402
1277 18
1277 57
1277 232
1277 304
1277 472
1277 537
1277 538
1277 837
1277 856
1277 1050
1277 1116
1277 1310
1277 1587
1402 123
1402 753
1402 865
2 564
2 613
2 621
2 1014
2 1021
2 1164
2 1210
2 1264
564 79
564 132
564 320
564 349
564 445
564 583
564 613
564 621
564 705
564 847
564 1014
564 1021
564 1128
564 1210
564 1264
564 1274
613 79
613 132
613 320
613 349
613 445
613 583
613 621
613 705
613 735
613 847
613 1014
613 1021
613 1128
613 1210
613 1264
613 1274
621 320
621 349
621 1014
621 1021
621 1133
621 1164
621 1210
621 1264
1014 79
1014 132
1014 320
1014 349
1014 445
1014 583
1014 705
1014 735
1014 847
1014 1021
1014 1128
1014 1210
1014 1264
1014 1274
1021 320
1021 349
1021 1133
1021 1164
1021 1210
1021 1264
1164 33
1164 277
1164 312
1164 521
1164 535
1164 569
1164 725
1164 855
1164 1133
1164 1210
1164 1264
1210 320
1210 349
1210 1133
1210 1264
1264 320
1264 349
1264 1133
3 7
3 28
3 45
3 566
3 600
3 719
3 796
3 854
3 949
3 1151
3 1176
3 1269
3 1325
3 1363
3 1536
3 1560
7 28
7 272
7 566
7 600
7 716
7 719
7 796
7 1269
7 1536
7 1569
28 45
28 566
28 600
28 719
28 746
28 854
28 947
28 1151
28 1176
28 1363
28 1560
28 1567
45 183
45 325
45 566
45 719
45 746
45 947
45 989
45 1176
45 1363
45 1560
45 1567
566 600
566 719
566 746
566 854
566 947
566 1151
566 1176
566 1363
566 1560
566 1567
600 272
600 716
600 719
600 796
600 1269
600 1536
600 1569
719 746
719 854
719 947
719 1151
719 1176
719 1363
719 1560
719 1567
796 128
796 272
796 716
796 949
796 1079
796 1161
796 1269
796 1325
796 1349
796 1536
796 1569
854 949
854 1151
854 1325
854 1363
854 1560
949 1151
949 1269
949 1325
949 1363
949 1536
949 1560
1151 1325
1151 1363
1151 1560
